date,long_term_real_average
1/12/18,0.73
1/11/18,0.74
1/10/18,0.73
1/9/18,0.73
1/8/18,0.68
1/5/18,0.66
1/4/18,0.66
1/3/18,0.67
1/2/18,0.68
12/29/17,0.64
12/28/17,0.67
12/27/17,0.68
12/26/17,0.74
12/22/17,0.75
12/21/17,0.76
12/20/17,0.79
12/19/17,0.75
12/18/17,0.7
12/15/17,0.67
12/14/17,0.68
12/13/17,0.7
12/12/17,0.72
12/11/17,0.73
12/8/17,0.72
12/7/17,0.72
12/6/17,0.68
12/5/17,0.7
12/4/17,0.71
12/1/17,0.73
11/30/17,0.79
11/29/17,0.78
11/28/17,0.75
11/27/17,0.74
11/24/17,0.74
11/22/17,0.72
11/21/17,0.75
11/20/17,0.75
11/17/17,0.74
11/16/17,0.76
11/15/17,0.74
11/14/17,0.78
11/13/17,0.79
11/10/17,0.8
11/9/17,0.74
11/8/17,0.72
11/7/17,0.72
11/6/17,0.74
11/3/17,0.76
11/2/17,0.76
11/1/17,0.78
10/31/17,0.79
10/30/17,0.8
10/27/17,0.84
10/26/17,0.87
10/25/17,0.86
10/24/17,0.85
10/23/17,0.82
10/20/17,0.83
10/19/17,0.79
10/18/17,0.8
10/17/17,0.77
10/16/17,0.76
10/13/17,0.75
10/12/17,0.76
10/11/17,0.79
10/10/17,0.8
10/6/17,0.83
10/5/17,0.81
10/4/17,0.8
10/3/17,0.81
10/2/17,0.82
9/29/17,0.8
9/28/17,0.78
9/27/17,0.78
9/26/17,0.73
9/25/17,0.71
9/22/17,0.74
9/21/17,0.76
9/20/17,0.76
9/19/17,0.72
9/18/17,0.71
9/15/17,0.7
9/14/17,0.7
9/13/17,0.71
9/12/17,0.69
9/11/17,0.67
9/8/17,0.62
9/7/17,0.63
9/6/17,0.68
9/5/17,0.67
9/1/17,0.74
8/31/17,0.71
8/30/17,0.75
8/29/17,0.75
8/28/17,0.76
8/25/17,0.76
8/24/17,0.78
8/23/17,0.76
8/22/17,0.79
8/21/17,0.77
8/18/17,0.78
8/17/17,0.77
8/16/17,0.8
8/15/17,0.83
8/14/17,0.8
8/11/17,0.75
8/10/17,0.74
8/9/17,0.77
8/8/17,0.81
8/7/17,0.81
8/4/17,0.82
8/3/17,0.81
8/2/17,0.83
8/1/17,0.83
7/31/17,0.84
